bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1650622,2650889,text,240622,application/pdf,Introduced,https://legiscan.com/US/text/HB120/id/2650889,https://www.congress.gov/118/bills/hr120/BILLS-118hr120ih.pdf
1650590,2650839,text,233524,application/pdf,Introduced,https://legiscan.com/US/text/HB121/id/2650839,https://www.congress.gov/118/bills/hr121/BILLS-118hr121ih.pdf
1650775,2650775,text,233092,application/pdf,Introduced,https://legiscan.com/US/text/HB122/id/2650775,https://www.congress.gov/118/bills/hr122/BILLS-118hr122ih.pdf
1651199,2650940,text,239629,application/pdf,Introduced,https://legiscan.com/US/text/HB123/id/2650940,https://www.congress.gov/118/bills/hr123/BILLS-118hr123ih.pdf
1650906,2663297,text,229222,application/pdf,Introduced,https://legiscan.com/US/text/HB124/id/2663297,https://www.congress.gov/118/bills/hr124/BILLS-118hr124ih.pdf
1650645,2650679,text,229567,application/pdf,Introduced,https://legiscan.com/US/text/HB125/id/2650679,https://www.congress.gov/118/bills/hr125/BILLS-118hr125ih.pdf
1651196,2650970,text,231346,application/pdf,Introduced,https://legiscan.com/US/text/HB126/id/2650970,https://www.congress.gov/118/bills/hr126/BILLS-118hr126ih.pdf
1650796,2650715,text,235857,application/pdf,Introduced,https://legiscan.com/US/text/HB127/id/2650715,https://www.congress.gov/118/bills/hr127/BILLS-118hr127ih.pdf
1650650,2650647,text,232555,application/pdf,Introduced,https://legiscan.com/US/text/HB128/id/2650647,https://www.congress.gov/118/bills/hr128/BILLS-118hr128ih.pdf
1650506,2650701,text,229072,application/pdf,Introduced,https://legiscan.com/US/text/HB129/id/2650701,https://www.congress.gov/118/bills/hr129/BILLS-118hr129ih.pdf
1651202,2651188,text,229669,application/pdf,Introduced,https://legiscan.com/US/text/HB130/id/2651188,https://www.congress.gov/118/bills/hr130/BILLS-118hr130ih.pdf
1650615,2650710,text,229189,application/pdf,Introduced,https://legiscan.com/US/text/HB131/id/2650710,https://www.congress.gov/118/bills/hr131/BILLS-118hr131ih.pdf
1651159,2650915,text,228769,application/pdf,Introduced,https://legiscan.com/US/text/HB132/id/2650915,https://www.congress.gov/118/bills/hr132/BILLS-118hr132ih.pdf
1651131,2650843,text,229243,application/pdf,Introduced,https://legiscan.com/US/text/HB133/id/2650843,https://www.congress.gov/118/bills/hr133/BILLS-118hr133ih.pdf
1651116,2650780,text,228987,application/pdf,Introduced,https://legiscan.com/US/text/HB134/id/2650780,https://www.congress.gov/118/bills/hr134/BILLS-118hr134ih.pdf
1650939,2650993,text,229782,application/pdf,Introduced,https://legiscan.com/US/text/HB135/id/2650993,https://www.congress.gov/118/bills/hr135/BILLS-118hr135ih.pdf
1650607,2650757,text,230936,application/pdf,Introduced,https://legiscan.com/US/text/HB136/id/2650757,https://www.congress.gov/118/bills/hr136/BILLS-118hr136ih.pdf
1651007,2650926,text,236992,application/pdf,Introduced,https://legiscan.com/US/text/HB137/id/2650926,https://www.congress.gov/118/bills/hr137/BILLS-118hr137ih.pdf
1650618,2650777,text,229493,application/pdf,Introduced,https://legiscan.com/US/text/HB138/id/2650777,https://www.congress.gov/118/bills/hr138/BILLS-118hr138ih.pdf
1650968,2650966,text,234823,application/pdf,Introduced,https://legiscan.com/US/text/HB139/id/2650966,https://www.congress.gov/118/bills/hr139/BILLS-118hr139ih.pdf
1650968,2681198,text,115128,application/pdf,Engrossed,https://legiscan.com/US/text/HB139/id/2681198,https://www.congress.gov/118/bills/hr139/BILLS-118hr139eh.pdf
1650755,2650693,text,235979,application/pdf,Introduced,https://legiscan.com/US/text/HB140/id/2650693,https://www.congress.gov/118/bills/hr140/BILLS-118hr140ih.pdf
1650755,2727609,text,246593,application/pdf,Introduced,https://legiscan.com/US/text/HB140/id/2727609,https://www.congress.gov/118/bills/hr140/BILLS-118hr140rh.pdf
1650755,2741313,text,126051,application/pdf,Engrossed,https://legiscan.com/US/text/HB140/id/2741313,https://www.congress.gov/118/bills/hr140/BILLS-118hr140eh.pdf
1650727,2651032,text,234004,application/pdf,Introduced,https://legiscan.com/US/text/HB141/id/2651032,https://www.congress.gov/118/bills/hr141/BILLS-118hr141ih.pdf
